id;authors;title;language_code;average_rating;ratings_count;work_ratings_count;work_text_reviews_count
9208;Scott McCloud;The Sculptor;eng;4.0;10038;10902;1789
9209;Victoria Jamieson;Roller Girl;eng;4.27;18014;18787;2511
9210;P.D. Eastman;The Best Nest;en-US;4.19;11906;12032;148
9211;J.L. Bourne;Beyond Exile (Day by Day Armageddon,# 2);eng;4.08;8923;9976;408
9212;Randall Wallace;Braveheart;eng;4.19;10729;10837;76
9213;Bill Willingham, Mark Buckingham, Steve Leialoha, Jim Fern, Jimmy Palmiotti, Andrew Pepoy;Fables, Vol. 7: Arabian Nights [and Days] (Fables, #7);eng;4.1;13772;14055;485
9214;AndrÃ© Aciman;Call Me by Your Name;;4.13;10154;12024;1549
9215;Anne Michaels;Fugitive Pieces;eng;3.95;10642;11449;929
9216;Terry Brooks;Armageddon's Children (Genesis of Shannara, #1);;4.09;11107;12790;623
9217;Richard   Preston;The Cobra Event;en-US;4.0;10505;11650;504
9218;Brodi Ashton;Everbound (Everneath, #2);en-US;4.06;15865;16560;1678
9219;Richard Stearns;The Hole in Our Gospel: What does God expect of Us? The Answer that Changed my Life and Might Just Change the World;en-US;4.18;9512;9982;575
9220;Gary Ezzo;On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep;;3.58;5939;9356;1804
9221;Ù†ÙˆØ± Ø¹Ø¨Ø¯Ø§Ù„Ù…Ø¬ÙŠØ¯;Ø±ØºÙ… Ø§Ù„ÙØ±Ø§Ù‚;ara;3.97;7822;7845;1198
9222;Steve Coll;Ghost Wars: The Secret History of the CIA, Afghanistan, and bin Laden from the Soviet Invasion to September 10, 2001;eng;4.28;9066;9638;656
9223;Anonymous;La vida del Lazarillo de Tormes;spa;3.49;7748;12456;475
9224;E.C. Diskin;Broken Grace;eng;3.92;10020;10265;613
9225;John Wyndham;The Midwich Cuckoos;eng;3.93;10841;12926;632
9226;Phyllis T. Smith;I Am Livia;en-US;3.93;9302;9457;852
9227;Sandra Brown;Smoke Screen;en-US;3.98;11245;12399;767
9228;Jeff Smith, Thomas E. Sniegoski, Steve Hamaker;Bone: Tall Tales;eng;4.38;9084;9151;151
9229;Jennifer L. Holm, Tad Carpenter;The Fourteenth Goldfish;eng;3.87;9532;13096;2089
9230;Kathryn Jackson, Gustav Tenggren;Tawny Scrawny Lion;;4.16;12407;12632;99
9231;Don Richardson;Peace Child: An Unforgettable Story of Primitive Jungle Treachery in the 20th Century;;4.31;8832;9128;238
9232;Don DeLillo;Libra;eng;3.98;10195;11342;633
9233;John le CarrÃ©;The Honourable Schoolboy;eng;3.94;9346;11827;599
9234;Robin Hobb;Renegade's Magic (Soldier Son, #3);eng;3.46;10164;11715;402
9235;Hugh Howey;Second Shift: Order (Shift, #2);eng;4.26;10110;10366;451
9236;James Redfield;The Tenth Insight: Holding the Vision (Celestine Prophecy, #2);en-CA;3.61;8795;9485;346
9237;Jed Rubenfeld;The Interpretation of Murder (Freud, #1);eng;3.51;9781;10909;1143
9238;Mark Waid, Alfred Gough, Miles Millar, Dave McCaig, Gerry Alanguilan, Leinil Francis Yu;Superman: Birthright;en-GB;4.12;9253;9360;355
9239;Margret Rey, H.A. Rey, Martha Weston;Curious George Visits the Library;en-US;4.25;10561;10629;71
9240;Julian Barnes;Arthur & George;eng;3.7;10131;12297;1291
9241;Gerald N. Lund;Truth Will Prevail (The Work and the Glory, #3);;4.3;9081;10604;198
9242;Karina Halle;Sins & Needles (The Artists Trilogy, #1);eng;3.98;18391;20756;2629
9243;E.H. Gombrich, Caroline Mustill, Clifford Harper;A Little History of the World;eng;4.1;8297;11017;1190
9244;H.P. Mallory;Fire Burn and Cauldron Bubble (Jolie Wilkins, #1);eng;3.85;10228;13938;1110
9245;Natsuki Takaya, Alethea Nibley, Athena Nibley;Fruits Basket, Vol. 4;en-US;4.39;15336;15506;243
9246;Geneen Roth;Women, Food and God: An Unexpected Path to Almost Everything;en-US;3.62;10201;11420;1483
9247;Naguib Mahfouz, William M. Hutchins, Olive E. Kenny;Palace Walk (The Cairo Trilogy #1);eng;4.14;6423;10468;985
9248;Andrew  Peterson;First to Kill (Nathan McBride, #1);eng;4.03;7849;10179;437
9249;Frank Bettger;How I Raised Myself from Failure to Success in Selling;;4.25;9438;9761;219
9250;Billy Crystal;Still Foolin' 'Em: Where I've Been, Where I'm Going, and Where the Hell Are My Keys;eng;3.89;8225;10271;1699
9251;Jackie Collins;Lucky (Lucky Santangelo, #2);en-US;4.08;9994;10907;235
9252;Stephen Schwartz, Gregory Maguire;Wicked - Piano/Vocal Arrangement;;4.45;10729;10757;38
9253;Erma Bombeck;If Life Is a Bowl of Cherries What Am I Doing in the Pits?;en-US;4.07;10861;11186;241
9254;Bernard Cornwell;Vagabond (The Grail Quest, #2);en-US;4.09;9680;11666;343
9255;Frances Hodgson Burnett;Little Lord Fauntleroy;;3.81;12712;14964;680
9256;Cheryl McIntyre;Sometimes Never (Sometimes Never, #1);eng;3.94;15306;16854;785
9257;George R.R. Martin;The Mystery Knight (The Tales of Dunk and Egg, #3);eng;4.2;11058;11445;387
9258;Olivia Cunning;Double Time (Sinners on Tour, #5);en-US;4.14;20484;22130;1507
9259;Holly Black;Red Glove (Curse Workers, #2);en-US;3.98;16108;17664;1677
9260;Rhonda Byrne;The Magic (The Secret, #3);eng;4.14;8066;9540;597
9261;Mariana Zapata;Kulti;;4.36;16112;19214;2158
9262;Bill Hybels, Lavonne Neff;Too Busy Not to Pray: Slowing Down to Be With God;en-US;4.14;8422;8880;244
9263;Philip Roth;Indignation;eng;3.69;8585;10831;1191
9264;Teju Cole;Open City;eng;3.5;9132;10624;1446
9265;Dave Pelzer;"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""";en-US;4.18;8201;9204;590
9266;Melissa de la Cruz;Witches of East End (The Beauchamp Family, #1);eng;3.51;13806;16562;2147
9267;Anita Shreve;All He Ever Wanted;eng;3.18;11514;12519;936
9268;Clive Barker;The Fifth Dominion (Imajica Part #1/2);eng;4.24;9421;9509;63
9269;Vi Keeland;Worth the Fight (MMA Fighter, #1);eng;4.06;20451;20571;1436
9270;Robin McKinley;Rose Daughter;eng;3.77;15696;16624;973
9271;Janice  Thompson;Fools Rush In (Weddings by Bella, #1);en-US;3.59;8692;11535;923
9272;Sharon Creech;Ruby Holler;;4.01;12438;13168;1010
9273;Jen Lancaster;My Fair Lazy: One Reality Television Addict's Attempt to Discover If Not Being A Dumb Ass Is the New Black, or, a Culture-Up Manifesto;eng;3.91;11826;12374;1014
9274;Bernard Cornwell;The Pagan Lord (The Saxon Stories, #7);en-US;4.34;8218;11684;787
9275;Zig Ziglar, Al Mayton;See You at the Top;;4.25;8888;9314;209
9276;Ian McGuire;The North Water;eng;4.01;8732;13592;1861
9277;Greg Bear;The Forge of God (Forge of God, #1);eng;3.86;10085;11294;381
9278;Robert Dugoni;In the Clearing (Tracy Crosswhite, #3);eng;4.25;14051;14186;755
9279;Brad Thor;Hidden Order (Scot Harvath, #12);eng;4.1;7857;10835;724
9280;Alison Weir;Eleanor of Aquitaine: A Life ;en-US;3.97;11325;11881;539
9281;Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison;Agamemnon (Oresteia, #1);eng;3.82;11515;11932;187
9282;Kevin Hearne;Staked (The Iron Druid Chronicles, #8);eng;4.23;9082;11879;904
9283;David Baggett, Shawn E. Klein;Harry Potter and Philosophy: If Aristotle Ran Hogwarts;;4.45;9264;9316;82
9284;Maya Banks;Sweet Persuasion (Sweet, #2);eng;4.09;16437;17668;671
9285;P.C. Cast, Kristin Cast;Redeemed (House of Night, #12);eng;3.95;11604;13962;1294
9286;Henry Marsh;Do No Harm: Stories of Life, Death and Brain Surgery;eng;4.22;7978;11850;1291
9287;Max Barry;Jennifer Government;eng;3.65;9722;11600;1038
9288;David Baldacci;The Christmas Train;;3.56;11424;13604;1652
9289;Christine Feehan;Dark Destiny (Dark, #13);eng;4.29;14613;15410;236
9290;Frank Miller, Lynn Varley;Batman: The Dark Knight Strikes Again (The Dark Knight Saga, #2);eng;3.21;11065;11603;641
9291;Katharine Hepburn;Me: Stories of My Life;eng;3.87;9312;10704;509
9292;Neil A. Fiore;The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play;eng;3.88;9396;10074;458
9293;Anna Todd;After Ever Happy (After, #4);en-US;4.08;12671;15124;1073
9294;Joel C. Rosenberg;The Auschwitz Escape;eng;4.32;7844;9534;1149
9295;Bill Bryson;Made in America: An Informal History of the English Language in the United States;en-US;3.89;9638;10865;655
9296;Alice  Miller, Ruth Ward;The Drama of the Gifted Child: The Search for the True Self;en-GB;4.09;9563;10830;537
9297;Dale Wasserman;One Flew Over the Cuckoo's Nest;;4.28;11142;11181;90
9298;H.P. Lovecraft;The Case of Charles Dexter Ward;eng;4.2;10153;11366;436
9299;Austin Grossman;Soon I Will Be Invincible;eng;3.68;9878;11359;1701
9300;Janet Fitch;Paint it Black;eng;3.47;9092;9779;1027
9301;Karen Kingsbury;Ever After (Lost Love, #2);en-US;4.31;9685;9949;357
9302;Graham Swift;Last Orders;;3.68;9349;10394;375
9303;Roland Barthes, Annette Lavers;Mythologies;eng;4.11;9325;10470;373
9304;Aristotle, Malcolm Heath;Poetics;eng;3.81;10347;13141;557
9305;Melanie Gideon;Wife 22;;3.51;10793;11967;2343
9306;Colleen Oakley;Before I Go;;3.79;8181;9539;1172
9307;Mike Lupica;Travel Team;;4.06;8356;8484;728
9308;Susan Cooper;The Dark Is Rising Sequence  (The Dark Is Rising #1-5);eng;4.29;11988;13225;642
9309;Margot Livesey;The Flight of Gemma Hardy;eng;3.59;12391;13187;2408
9310;Ted Dekker;Saint (Paradise, #2);en-US;4.04;10594;10881;373
9311;Immanuel Kant, Mary J. Gregor, Christine M. Korsgaard;Groundwork of the Metaphysics of Morals;eng;3.78;9104;10618;271
9312;Douglas Preston, Lincoln Child;Crimson Shore (Pendergast, #15);eng;4.0;7174;10726;1307
9313;Theodore Sturgeon;More Than Human;eng;3.98;10733;12048;544
9314;James Patterson, Michael Ledwidge;Burn (Michael Bennett, #7);eng;3.88;6866;11452;882
9315;Donna Russo Morin;The King's Agent;en-US;3.81;8250;8254;63
9316;Dee Henderson;The Healer (O'Malley #5);eng;4.4;11245;11831;260
9317;Ernest Hemingway;Islands in the Stream;;3.86;9608;10717;513
9318;Dee Henderson;The Guardian (O'Malley #2);eng;4.4;11474;12163;348
9319;Bisco Hatori;Ouran High School Host Club, Vol. 15 (Ouran High School Host Club, #15);eng;4.54;10743;10823;92
9320;Erlend Loe, Tor Ketil Solberg;NaÃ¯ve. Super;eng;3.89;8642;11338;502
9321;Meca Tanaka, ç”°ä¸­ãƒ¡ã‚«;ã‚­ã‚¹ã‚ˆã‚Šã‚‚æ—©ã1 [Kisu Yorimo Hayaku 1] (Faster than a Kiss #1);jpn;4.23;11232;11437;90
9322;Andy Andrews;The Noticer: Sometimes, All a Person Needs Is a Little Perspective;eng;4.17;8335;9980;1369
9323;Iris Murdoch;Under the Net;eng;3.76;9506;10082;434
9324;John Lanchester;Capital;;3.68;4961;9885;1198
9325;P.C. Cast, Kristin Cast;Lenobia's Vow (House of Night Novellas, #2);en-US;4.16;12649;13524;636
9326;Elle Kennedy;The Goal (Off-Campus, #4);eng;4.05;14560;17981;2126
9327;Eoin Colfer;Artemis Fowl Boxed Set, Bks 1-5 (Artemis Fowl, #1-5);en-US;4.29;10692;10940;121
9328;Shana Norris;The Boyfriend Thief (Stolen Kiss, #1);eng;3.74;12080;12522;579
9329;Peter  May;The Lewis Man (The Lewis Trilogy, #2);eng;4.2;7870;11467;1091
9330;Terry Brooks;The Elves of Cintra (Genesis of Shannara, #2);eng;4.09;10663;11920;340
9331;Trudi Canavan;Priestess of the White (Age of the Five, #1);eng;3.84;10552;12754;397
9332;Jessica Sorensen;The Vision (Fallen Star, #3);eng;4.15;12519;12785;380
9333;Robert Ludlum;The Gemini Contenders;eng;3.87;10428;10763;110
9334;Conn Iggulden;The Field of Swords (Emperor, #3);en-US;4.26;9293;10673;211
9335;Blake Crouch;Abandon;en-US;3.74;4713;11390;1165
9336;Linda Fairstein;Final Jeopardy (Alexandra Cooper, #1);en-US;3.9;11250;11952;371
9337;Jay Winik;April 1865: The Month That Saved America;;4.15;8850;9240;359
9338;Jessica Verday;The Haunted (The Hollow, #2);en-CA;4.15;12890;13480;626
9339;Dee Henderson;The Protector (O'Malley #4);eng;4.38;10704;11299;216
9340;Julie Buxbaum;Tell Me Three Things;eng;4.1;15565;18097;3127
9341;Cecily von Ziegesar;The It Girl (It Girl, #1);eng;3.66;11929;12276;416
9342;Lynsay Sands;Single White Vampire (Argeneau #3);eng;4.16;16618;18616;696
9343;Robert Jordan;The Wheel of Time: Boxed Set  (Wheel of Time, #1-8);;4.37;9031;9139;129
9344;Daniel Goleman;Social Intelligence: The New Science of Human Relationships;;3.97;8670;9395;315
9345;HaveYouSeenThisGirL, Jan Irene Villar;Diary ng Panget;fil;4.4;7016;7045;401
9346;Susan Elizabeth Phillips;Call Me Irresistible (Wynette, Texas #5);eng;4.07;15449;17558;1327
9347;Robin S. Sharma;Who Will Cry When You Die? Life Lessons from the Monk Who Sold His Ferrari;eng;3.93;7174;10056;586
9348;Jennifer McMahon;Promise Not to Tell;eng;3.62;11775;12785;1478
9349;Debora Geary;A Modern Witch (A Modern Witch, #1);eng;3.73;11264;11475;1018
9350;Andy Andrews;The Traveler's Gift: Seven Decisions that Determine Personal Success;eng;4.1;8055;9715;1330
9351;Elle Casey;Shine Not Burn (Shine Not Burn, #1);eng;4.07;14739;19553;1873
9352;Margaret Peterson Haddix;Double Identity;;4.01;12978;13848;1287
9353;Si Robertson, Mark Schlabach;Si-cology 1: Tales and Wisdom from Duck Dynastyâ€™s Favorite Uncle;eng;3.94;7329;8058;732
9354;Tom Angleberger;Darth Paper Strikes Back (Origami Yoda, #2);eng;4.12;10798;11099;847
9355;Kady Cross;The Girl in the Steel Corset (Steampunk Chronicles, #1);eng;3.81;17825;19547;2460
9356;Daniel Glattauer;Gut gegen Nordwind (Gut gegen Nordwind, #1);ger;3.88;6874;13682;1513
9357;James Lincoln Collier, Christopher Collier;My Brother Sam Is Dead;eng;3.39;12817;13445;1556
9358;Linda Howard;Dream Man;eng;4.04;14604;15373;504
9359;Tom Holland;Rubicon: The Last Years of the Roman Republic;eng;4.17;9224;10596;652
9360;Stephen King;The Green Mile, Part 6: Coffey on the Mile;eng;4.55;11936;12572;180
9361;Laurie Halse Anderson;Catalyst;en-US;3.62;13840;14722;1354
9362;Molly Harper;Nice Girls Don't Have Fangs (Jane Jameson, #1);en-US;3.92;18122;19307;1578
9363;Anne Rice, Anne Rampling;Belinda;en-US;3.6;10018;12053;290
9364;Eloisa James;When Beauty Tamed the Beast (Fairy Tales, #2);eng;4.06;16245;18119;1627
9365;Richard Paul Evans;Miles to Go (The Walk, #2);;4.27;9654;10767;1196
9366;Julie Garwood;The Gift (Crown's Spies, #3);eng;4.17;13977;15027;420
9367;Derf Backderf;My Friend Dahmer;eng;3.88;11563;12333;1874
9368;Julie Garwood;The Lion's Lady (Crown's Spies, #1);eng;4.16;15614;17150;564
9369;Mary Kay Andrews;Beach Town;;3.58;8827;10785;1017
9370;Cindy C. Bennett;Heart on a Chain;en-GB;4.04;16007;16339;1003
9371;Brian Jacques;The Legend of Luke (Redwall, #12);;3.99;12658;13412;165
9372;Dick King-Smith, Maggie Kneen;Babe: The Gallant Pig;eng;4.05;11229;11965;319
9373;Wally Lamb;Wishin' and Hopin';eng;3.52;10966;11900;1775
9374;Jack McCallum;Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever;eng;4.16;8000;8420;402
9375;Kerry Patterson, Joseph Grenny, David Maxfield, Ron McMillan, Al Switzler;Influencer: The Power to Change Anything;en-GB;3.98;8036;8696;470
9376;Roger Zelazny;The Hand of Oberon (The Chronicles of Amber #4);eng;4.19;12627;13401;231
9377;Maya Banks;No Place to Run (KGI, #2);eng;4.29;16649;17974;804
9378;Jeff Smith, Steve Hamaker;The Dragonslayer (Bone, #4);eng;4.33;11044;11356;416
9379;Joel Fuhrman;Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss;;4.12;7274;10743;1193
9380;Tessa Dare;A Week to Be Wicked (Spindle Cove, #2);eng;4.12;14615;16273;1381
9381;Ann M. Martin;Rain Reign;eng;4.21;11872;12627;2290
9382;Karen Chance;Claimed By Shadow (Cassandra Palmer, #2);en-US;3.98;18318;19203;610
9383;Susan S. Adler, RenÃ©e Graef, Nancy Niles;Meet Samantha: An American Girl (American Girls: Samantha, #1);eng;3.95;15460;15997;266
9384;Sebastian Barry;The Secret Scripture;eng;3.75;9565;12710;2117
9385;Greg Rucka, J.H. Williams III, Rachel Maddow;Batwoman: Elegy;eng;4.16;11001;11494;591
9386;Julie Otsuka;When the Emperor Was Divine;eng;3.7;11529;13268;2079
9387;Sophie Jordan;Foreplay (The Ivy Chronicles, #1);eng;3.94;14461;15668;1491
9388;John Sandford;Night Prey (Lucas Davenport, #6);eng;4.14;11975;13885;297
9389;Dorothy L. Sayers;Clouds of Witness (Lord Peter Wimsey, #2);eng;4.04;12013;13682;717
9390;Stephanie Bond;Body Movers (Body Movers, #1);eng;3.84;10719;11615;583
9391;Anthony Bourdain;The Nasty Bits: Collected Varietal Cuts, Usable Trim, Scraps, and Bones;;3.75;8021;9260;734
9392;George Saunders;Lincoln in the Bardo;eng;3.93;20373;24013;5354
9393;William Gibson;Zero History (Blue Ant, #3);eng;3.93;10394;11730;1017
9394;Chelsea Fine;Sophie & Carter;eng;3.83;11849;13418;772
9395;Louis Sachar;Small Steps (Holes, #2);eng;3.69;11837;13095;1387
9396;Alex Marwood;The Wicked Girls;eng;3.48;9180;11921;1292
9397;Simon R. Green;Agents of Light and Darkness (Nightside, #2);eng;4.0;12827;13425;404
9398;John Brunner;Stand on Zanzibar;eng;3.96;11021;11817;438
9399;Gwen Cooper;Homer's Odyssey;en-US;4.18;9907;11609;1595
9400;Agatha Christie;Sad Cypress (Hercule Poirot, #21);eng;3.83;12538;15306;754
9401;Michael Dante DiMartino, Bryan Konietzko;Avatar Volume 1: The Last Airbender (Avatar #1);eng;4.52;8261;8382;62
9402;Enid Blyton;Five Go to Smuggler's Top (Famous Five, #4);eng;4.03;10441;12094;196
9403;Sara Paretsky;Indemnity Only (V.I. Warshawski, #1);eng;3.89;11954;12647;378
9404;Enid Blyton;Five Run Away Together (Famous Five, #3);en-US;4.03;10698;12064;226
9405;Danielle Steel;The Promise;en-US;3.93;9836;10716;367
9406;Fannie Flagg;A Redbird Christmas;eng;3.86;11101;12611;1541
9407;Leon Uris;The Haj;eng;3.99;10060;10645;389
9408;Guy Gavriel Kay;The Darkest Road (The Fionavar Tapestry, #3);eng;4.18;11755;13328;419
9409;Bette Greene;Summer of My German Soldier (Summer of My German Soldier, #1);;3.66;12108;14177;902
9410;George R.R. Martin, Gardner R. Dozois, Joe Abercrombie, Gillian Flynn, Matthew Hughes, Joe R. Lansdale, Michael Swanwick, David  Ball, Carrie Vaughn, Scott Lynch, Bradley Denton, Cherie Priest, Daniel Abraham, Paul Cornell, Steven Saylor, Garth Nix, Walter Jon Williams, Phyllis Eisenstein, Lisa Tuttle, Neil Gaiman, Connie Willis, Patrick Rothfuss;Rogues;eng;3.86;10135;12239;1502
9411;Jodi Daynard;The Midwife's Revolt (The Midwife Series, #1);eng;3.97;8780;9248;827
9412;Cora Reilly;Bound by Honor (Born in Blood Mafia Chronicles, #1);eng;4.14;15138;17384;1173
9413;Tijan;Anti-Stepbrother;eng;4.14;10334;13624;1341
9414;Lara Adrian;Deeper Than Midnight (Midnight Breed, #9);en-US;4.29;16679;18406;964
9415;Faith Hunter;Mercy Blade (Jane Yellowrock, #3);eng;4.21;14856;16350;579
9416;Cara Lockwood;I Do -- But I Don't;;3.66;9151;9388;163
9417;Judy Schachner;Skippyjon Jones in Mummy Trouble (Skippyjon Jones, #3);en-US;4.25;11076;11311;220
9418;Mason Currey;Daily Rituals: How Artists Work;eng;3.66;8565;9824;966
9419;Kevin Malarkey, Alex Malarkey;The Boy Who Came Back from Heaven: A Remarkable Account of Miracles, Angels, and Life beyond This World;eng;3.89;8945;9801;698
9420;Kitty French;Knight & Stay (Knight, #2);eng;4.19;18124;18359;955
9421;Jacqueline Winspear;An Incomplete Revenge (Maisie Dobbs, #5);en-GB;4.09;11579;13525;1098
9422;Jennifer McMahon;The Night Sister;eng;3.67;10219;11841;1647
9423;Sarra Manning;You Don't Have to Say You Love Me;eng;3.97;12898;13937;1154
9424;Ursula K. Le Guin;Tales from Earthsea (Earthsea Cycle, #5);eng;4.0;11530;13238;465
9425;Juan Gabriel VÃ¡squez, Anne McLean;The Sound of Things Falling;eng;3.74;6113;9262;1042
9426;Ruth Cardello;Maid for the Billionaire (Legacy Collection, #1);eng;3.77;11539;16816;947
9427;Dean Koontz;Ashley Bell;eng;3.59;8118;11732;1886
9428;William Gibson, Terry Bisson;Johnny Mnemonic;en-US;3.75;9564;9793;90
9429;Michael A. Stackpole;Rogue Squadron (Star Wars: X-Wing, #1);en-GB;4.02;11405;11953;323
9430;Danielle Steel;Fine Things;;3.92;10519;10903;204
9431;Clive Cussler;The Chase (Isaac Bell, #1);en-US;3.92;10998;12301;888
9432;Neil Postman, Andrew Postman;Amusing Ourselves to Death: Public Discourse in the Age of Show Business;eng;4.14;9736;11145;1344
9433;Anne McCaffrey;Nerilka's Story (Pern, #8);eng;3.78;12936;14399;195
9434;Raymond E. Feist;King of Foxes (Conclave of Shadows, #2);;3.95;10684;11552;98
9435;Lynley Dodd;Hairy Maclary from Donaldson's Dairy;eng;4.28;11051;11285;171
9436;Pattie Boyd, Penny Junor;Wonderful Tonight;en-US;3.65;8254;9450;942
9437;Ann Hood;The Obituary Writer;eng;3.7;5178;11328;1676
9438;Roderick Gordon, Brian  Williams;Tunnels (Tunnels, #1);en-CA;3.57;11678;13324;1406
9439;Bob Spitz;The Beatles: The Biography;en-US;4.13;8120;8464;390
9440;Ken Follett;Lie Down with Lions;;3.78;9822;11731;493
9441;Greg Pak, Aaron Lopresti, Carlo Pagulayan, Juan Santacruz, Gary Frank, Takeshi Miyazawa;The Incredible Hulk: Planet Hulk;eng;4.23;8680;9426;333
9442;David Starkey;Elizabeth: The Struggle for the Throne;;4.06;11163;11537;257
9443;Dean Hughes;Rumors of War (Children of the Promise, #1);en-US;4.25;9995;10147;875
9444;Jussi Adler-Olsen;Journal 64 (Afdeling Q, #4);dan;4.04;5044;12025;995
9445;Ù…Ø­Ù…Ø¯ ØµØ§Ø¯Ù‚;Ø¨Ø¶Ø¹ Ø³Ø§Ø¹Ø§Øª ÙÙŠ ÙŠÙˆÙ… Ù…Ø§;ara;3.14;7806;7875;855
9446;Lindsey Kelk;The Single Girl's To-Do List;eng;3.94;9829;10581;480
9447;Arthur C. Clarke, Gentry Lee;Rama Revealed (Rama, #4);eng;3.72;9015;10468;256
9448;Alice Clayton;The Redhead Revealed (Redhead, #2);eng;4.2;15464;17359;1030
9449;Ted Dekker;Skin;;3.8;10590;10901;637
9450;Garth Nix;Clariel (Abhorsen, #4);eng;3.79;10616;14173;1810
9451;Donna Leon;Death at La Fenice (Commissario Brunetti, #1);en-US;3.81;11705;14654;1493
9452;James Ellroy;The Big Nowhere (L.A. Quartet, #2);eng;4.11;9249;10487;341
9453;Jan Karon;In This Mountain (Mitford Years, #7);;4.32;11015;12225;328
9454;Ken Follett;Code to Zero;;3.64;9071;11467;666
9455;Charles Dickens, Norman Page;The Old Curiosity Shop;;3.75;11092;13299;792
9456;Virginia M. Axline;Dibs in Search of Self;en-US;4.13;8905;9218;341
9457;Natsuki Takaya, Alethea Nibley, Athena Nibley;Fruits Basket, Vol. 14;en-US;4.46;13072;13206;126
9458;Matt Fraction, David Aja, Francesco Francavilla, Steve Lieber, Jesse Hamm, Annie Wu, Matt Hollingsworth, Chris Eliopoulos;Hawkeye, Volume 2: Little Hits;eng;4.27;15547;15836;858
9459;Barbara Ann Brennan, Jos. A. Smith;Hands Of Light;;4.27;9016;9183;116
9460;Bohumil Hrabal;Too Loud a Solitude;eng;4.17;5468;9656;945
9461;Lemony Snicket, Brett Helquist;A Series of Unfortunate Events Box: The Complete Wreck (Books 1-13);en-GB;4.28;11240;11806;911
9462;Shannon Hale;Midnight in Austenland (Austenland, #2);en-US;3.5;13960;15167;3209
9463;Isaac Asimov;Pebble in the Sky (Galactic Empire #3);eng;3.85;11335;13463;522
9464;Kristan Higgins;Too Good to Be True;eng;3.9;14745;16143;1073
9465;Brian Michael Bendis, Mark Bagley;Ultimate Spider-Man, Volume 1: Power and Responsibility;eng;4.06;10462;10929;268
9466;Shelly Crane;Independence (Significance, #4);eng;4.32;14408;15662;850
9467;M. Pierce;Night Owl (Night Owl, #1);eng;4.03;8053;16898;2408
9468;John Sandford;Mortal Prey (Lucas Davenport, #13);en-US;4.2;11272;12613;382
9469;Agatha Christie, Hugh Fraser;One, Two, Buckle My Shoe (Hercule Poirot, #22);eng;3.74;11285;14936;644
9470;Amie Kaufman, Jay Kristoff, Marie Lu;Gemina (The Illuminae Files, #2);eng;4.56;10960;17426;4612
9471;Chris Crutcher;Staying Fat for Sarah Byrnes;en-US;3.94;11544;12026;1038
9472;R.D. Blackmore, Michelle Allen;Lorna Doone;eng;3.71;11716;12859;487
9473;Paulo Coelho;Maktub;spa;3.41;5902;8793;592
9474;Jill Shalvis;Head Over Heels (Lucky Harbor, #3);eng;4.16;16560;17472;1019
9475;Ted Dekker;Adam;eng;3.93;9903;10655;753
9476;Agatha Christie, Robin Bailey;The Clocks (Hercule Poirot, #34);eng;3.71;12335;15410;661
9477;Jennifer McMahon;The One I Left Behind;en-US;3.76;10266;11274;1165
9478;Benjamin Hoff;Tao of Pooh and Te of Piglet Boxed Set;eng;4.15;8206;9821;463
9479;Stacy King, SunNeko Lee, Crystal S. Chan, Victor Hugo;Manga Classics: Les MisÃ©rables;eng;4.1;6691;6823;288
9480;R.A. Salvatore;The Orc King (Forgotten Realms: Transitions, #1;;;;;
9481;Anne McCaffrey;The Dolphins of Pern (Pern, #13);eng;3.94;12938;14529;197
9482;S.A.R.K.;Succulent Wild Woman;;4.12;9365;9417;271
9483;William  Boyd;Any Human Heart;en-GB;4.26;8365;10207;1045
9484;John Grisham;The Abduction (Theodore Boone, #2);eng;3.76;9346;11766;1217
9485;Oliver PÃ¶tzsch, Lee Chadeayne;The Beggar King (The Hangman's Daughter, #3);eng;3.95;10271;11295;796
9486;E.L. James;Fifty Shades Duo: Fifty Shades Darker / Fifty Shades Freed (Fifty Shades, #2-3);en-GB;4.41;8227;8268;80
9487;Michel Houellebecq;La Carte et le territoire;fre;3.93;5631;10484;761
9488;J.D. Robb;Festive in Death (In Death, #39);eng;4.26;9784;14096;1171
9489;Alex   Sanchez;Rainbow Boys (Rainbow Trilogy, #1);eng;3.85;11146;11349;484
9490;Jeanne Birdsall;The Penderwicks on Gardam Street (The Penderwicks, #2);;4.23;13423;14067;1392
9491;Lynsay Sands;A Bite to Remember (Argeneau #5);eng;4.23;16516;17514;403
9492;Lars Kepler, Laura A. Wideburg;The Nightmare (Joona Linna, #2);en-US;3.78;6917;10832;851
9493;Nora Roberts;The Reef;en-US;3.89;13932;15031;426
9494;Agatha Christie;They Do It with Mirrors (Miss Marple, #6);eng;3.74;13214;16035;695
9495;Matthew Inman;5 Very Good Reasons to Punch a Dolphin in the Mouth and Other Useful Guides;eng;4.11;9469;10075;569
9496;Mercer Mayer;Just a Mess (Little Critter);eng;4.23;10772;10776;49
9497;Melissa Senate;See Jane Date;;3.49;9292;9427;131
